  Click here to visit the homepage.
Skip Navigation Links
     Membership     
     Committees     
     Subcommittees     
     Floor Minutes     
     Clerk's Office     
Email List

Member Name	Email Address	Party	District
Barker, George L.	district39@senate.virginia.gov	D	39
Black, Richard H.	district13@senate.virginia.gov	R	13
Carrico, Charles W., Sr.	district40@senate.virginia.gov	R	40
Chafin, A. Benton , Jr.	district38@senate.virginia.gov	R	38
Chase, Amanda F.	district11@senate.virginia.gov	R	11
Cosgrove, John A. , Jr.	district14@senate.virginia.gov	R	14
Dance, Rosalyn R.	district16@senate.virginia.gov	D	16
Deeds, R. Creigh	district25@senate.virginia.gov	D	25
DeSteph, William R. , Jr.	district08@senate.virginia.gov	R	8
Dunnavant, Siobhan S.	district12@senate.virginia.gov	R	12
Ebbin, Adam P.	district30@senate.virginia.gov	D	30
Edwards, John S.	district21@senate.virginia.gov	D	21
Favola, Barbara A.	district31@senate.virginia.gov	D	31
Garrett, Thomas A., Jr.	district22@senate.virginia.gov	R	22
Hanger, Emmett W., Jr.	district24@senate.virginia.gov	R	24
Howell, Janet D.	district32@senate.virginia.gov	D	32
Lewis, Lynwood W. , Jr.	district06@senate.virginia.gov	D	6
Locke, Mamie E.	district02@senate.virginia.gov	D	2
Lucas, L. Louise	district18@senate.virginia.gov	D	18
Marsden, David W.	district37@senate.virginia.gov	D	37
McDougle, Ryan T.	district04@senate.virginia.gov	R	4
McEachin, A. Donald	district09@senate.virginia.gov	D	9
McPike, Jeremy S.	district29@senate.virginia.gov	D	29
Newman, Stephen D.	district23@senate.virginia.gov	R	23
Norment, Thomas K., Jr.	district03@senate.virginia.gov	R	3
Obenshain, Mark D.	district26@senate.virginia.gov	R	26
Petersen, J. Chapman	district34@senate.virginia.gov	D	34
Reeves, Bryce E.	district17@senate.virginia.gov	R	17
Ruff, Frank M., Jr.	district15@senate.virginia.gov	R	15
Saslaw, Richard L.	district35@senate.virginia.gov	D	35
Stanley, William M., Jr.	district20@senate.virginia.gov	R	20
Stuart, Richard H.	district28@senate.virginia.gov	R	28
Sturtevant, Glen H. , Jr.	district10@senate.virginia.gov	R	10
Suetterlein, David R.	district19@senate.virginia.gov	R	19
Surovell, Scott A.	district36@senate.virginia.gov	D	36
Vacant,	 	 	1
Vacant,	 	 	5
Vogel, Jill Holtzman	district27@senate.virginia.gov	R	27
Wagner, Frank W.	district07@senate.virginia.gov	R	7
Wexton, Jennifer T.	district33@senate.virginia.gov	D	33
Who to Contact | Privacy Statement| ©1995-2016 Commonwealth of Virginia
